"URI","rdf-schema#label","rdf-schema#comment","binomialAuthority_label","binomialAuthority","class_label","class","conservationStatus","conservationStatusSystem","division_label","division","family_label","family","genus_label","genus","kingdom_label","kingdom","order_label","order","phylum_label","phylum","species_label","species","synonym","thumbnail_label","thumbnail","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","depiction_label","depiction","name"
"http://dbpedia.org/resource/Nebridia","Nebridia","Nebridia is a spider genus of the Salticidae family (jumping spiders) with four species. Two occur in South America two on Hispaniola.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Euophryinae|Jumping spider}","{http://dbpedia.org/resource/Euophryinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Nebridia"
"http://dbpedia.org/resource/Neobrettus","Neobrettus","Neobrettus is a spider genus of the Salticidae family (jumping spiders).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Spartaeinae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Spartaeinae}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Neobrettus"
"http://dbpedia.org/resource/Neonella","Neonella","Neonella is a spider genus of the Salticidae family (jumping spiders). Its species occur from the USA to Argentina.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Euophryinae|Jumping spider}","{http://dbpedia.org/resource/Euophryinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","200px-Edwards_Neonella_vinnula_01.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Edwards_Neonella_vinnula_01.jpg/200px-Edwards_Neonella_vinnula_01.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Edwards_Neonella_vinnula_01.jpg","http://upload.wikimedia.org/wikipedia/commons/9/9e/Edwards_Neonella_vinnula_01.jpg","Neonella"
"http://dbpedia.org/resource/Neon_(spider)","Neon (spider)","Neon is a spider genus of the Salticidae family (jumping spiders). Its 25 described species occur mostly in Eurasia with some species found in North and South America. One species N. convolutus is also found in Algeria.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","Jumping spider","http://dbpedia.org/resource/Jumping_spider","Astioida","http://dbpedia.org/resource/Astioida","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Edwards_Neon_nelli_01.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Edwards_Neon_nelli_01.jpg/200px-Edwards_Neon_nelli_01.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Edwards_Neon_nelli_01.jpg","http://upload.wikimedia.org/wikipedia/commons/9/9b/Edwards_Neon_nelli_01.jpg","Neon"
"http://dbpedia.org/resource/Nimbarus","Nimbarus","Nimbarus is a spider genus of the Salticidae family (jumping spiders). Its single described species is found in Guinea.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","Jumping spider","http://dbpedia.org/resource/Jumping_spider","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Nimbarus"
"http://dbpedia.org/resource/Noegus","Noegus","Noegus is a spider genus of the Salticidae family (jumping spiders). Most species occur in South America with few reaching north up to Guatemala.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Amycinae|Jumping spider}","{http://dbpedia.org/resource/Amycinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Noegus"
"http://dbpedia.org/resource/Nosferattus","Nosferattus","Nosferattus is a spider genus of the Salticidae family (jumping spiders). All described species are found in Brazil.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Sitticinae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Sitticinae}","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Nosferattus"
"http://dbpedia.org/resource/Nycerella","Nycerella","Nycerella is a spider genus of the Salticidae family (jumping spiders). The genus was renamed from Cyrene Peckham & Peckham 1893 because the name was preoccupied.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Aelurillinae|Jumping spider}","{http://dbpedia.org/resource/Aelurillinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","Cyrene Peckham & Peckham","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Nycerella"
"http://dbpedia.org/resource/Ocnotelus","Ocnotelus","Ocnotelus is a spider genus of the Salticidae family (jumping spiders).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Euophryinae|Jumping spider}","{http://dbpedia.org/resource/Euophryinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Ocnotelus"
"http://dbpedia.org/resource/Ocrisiona","Ocrisiona","Ocrisiona is a spider genus of the Salticidae family (jumping spiders). O. frenata from Hong Kong belongs not to Ocrisiona but to a different unspecified genus according to Zabka (1990). Simon places the genus Ocrisiona close to Holoplatys.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Marpissinae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Marpissinae}","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","200px-Jumping_spider_nov07.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jumping_spider_nov07.jpg/200px-Jumping_spider_nov07.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Jumping_spider_nov07.jpg","http://upload.wikimedia.org/wikipedia/commons/4/46/Jumping_spider_nov07.jpg","Ocrisiona"
"http://dbpedia.org/resource/Ogdenia","Ogdenia","Ogdenia is a spider genus of the Salticidae family (jumping spiders). Its only described species O. mutilla is endemic to Sarawak Borneo. Peckham & Peckham regarded the species as being close to Hasarius. The female epigyne was drawn by Proszynsky (1984). The genus was originally called Rooseveltia but replaced by the original authors a year later.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Hasariinae|Jumping spider}","{http://dbpedia.org/resource/Hasariinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","Rooseveltia mutilla","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Ogdenia"
"http://dbpedia.org/resource/Omoedus","Omoedus","Omoedus is a spider genus of the Salticidae family (jumping spiders).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Euophryinae|Jumping spider}","{http://dbpedia.org/resource/Euophryinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Omoedus"
"http://dbpedia.org/resource/Onomastus","Onomastus","Onomastus is a spider genus of the Salticidae family (jumping spiders).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Lyssomaninae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Lyssomaninae}","NULL","NULL","{Animal|Eumetazoa}","{http://dbpedia.org/resource/Animal|http://dbpedia.org/resource/Eumetazoa}","{Araneomorphae|Spider}","{http://dbpedia.org/resource/Araneomorphae|http://dbpedia.org/resource/Spider}","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","200px-Onomastus.kanoi.female.-.tanikawa.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Onomastus.kanoi.female.-.tanikawa.jpg/200px-Onomastus.kanoi.female.-.tanikawa.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Onomastus.kanoi.female.-.tanikawa.jpg","http://upload.wikimedia.org/wikipedia/commons/7/7f/Onomastus.kanoi.female.-.tanikawa.jpg","Onomastus"
"http://dbpedia.org/resource/Opisthoncana","Opisthoncana","Opisthoncana is a spider genus of the Salticidae family (jumping spiders). Its sole described species O. formidabilis has only been found on New Ireland near New Guinea.","Embrik Strand","http://dbpedia.org/resource/Embrik_Strand","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Euophryinae|Jumping spider}","{http://dbpedia.org/resource/Euophryinae|http://dbpedia.org/resource/Jumping_spider}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Distribution.opisthoncana.formidabilis.1.png","http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Distribution.opisthoncana.formidabilis.1.png/200px-Distribution.opisthoncana.formidabilis.1.png","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Distribution.opisthoncana.formidabilis.1.png","http://upload.wikimedia.org/wikipedia/commons/0/0d/Distribution.opisthoncana.formidabilis.1.png","Opisthoncana"
"http://dbpedia.org/resource/Opisthoncus","Opisthoncus","Opisthoncus is a spider genus of the Salticidae family (jumping spiders). Many Australian species are as yet undescribed.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Marpissinae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Marpissinae}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Picture_178_cropped.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Picture_178_cropped.jpg/200px-Picture_178_cropped.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Picture_178_cropped.jpg","http://upload.wikimedia.org/wikipedia/commons/1/1f/Picture_178_cropped.jpg","NULL"
