"URI","rdf-schema#label","rdf-schema#comment","binomialAuthority_label","binomialAuthority","class_label","class","conservationStatus","conservationStatusSystem","division_label","division","family_label","family","genus_label","genus","kingdom_label","kingdom","order_label","order","phylum_label","phylum","species_label","species","synonym","thumbnail_label","thumbnail","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","depiction_label","depiction","name"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2000/01/rdf-schema#comment","http://dbpedia.org/ontology/binomialAuthority","http://dbpedia.org/ontology/binomialAuthority","http://dbpedia.org/ontology/class","http://dbpedia.org/ontology/class","http://dbpedia.org/ontology/conservationStatus","http://dbpedia.org/ontology/conservationStatusSystem","http://dbpedia.org/ontology/division","http://dbpedia.org/ontology/division","http://dbpedia.org/ontology/family","http://dbpedia.org/ontology/family","http://dbpedia.org/ontology/genus","http://dbpedia.org/ontology/genus","http://dbpedia.org/ontology/kingdom","http://dbpedia.org/ontology/kingdom","http://dbpedia.org/ontology/order","http://dbpedia.org/ontology/order","http://dbpedia.org/ontology/phylum","http://dbpedia.org/ontology/phylum","http://dbpedia.org/ontology/species","http://dbpedia.org/ontology/species","http://dbpedia.org/ontology/synonym","http://dbpedia.org/ontology/thumbnail","http://dbpedia.org/ontology/thumbnail","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/depiction","http://xmlns.com/foaf/0.1/depiction","http://xmlns.com/foaf/0.1/name"
"URI","XMLSchema#string","XMLSchema#string","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","XMLSchema#string","XMLSchema#string","owl#Thing","XMLSchema#string","Species","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Class","XMLSchema#string","owl#Thing","XMLSchema#string"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Species","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Class","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string"
"http://dbpedia.org/resource/Argiope_(spider)","Argiope (spider)","The genus Argiope includes rather large and spectacular spiders that often have a strikingly coloured abdomen. These spiders are distributed throughout the world. Most countries in tropical or temperate climates host one or more species that are similar in appearance. The etymology of the name is from a Greek name meaning silver-faced.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","Orb-weaver spider","http://dbpedia.org/resource/Orb-weaver_spider","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Argiope_sp.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Argiope_sp.jpg/200px-Argiope_sp.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Argiope_sp.jpg","http://upload.wikimedia.org/wikipedia/commons/f/fd/Argiope_sp.jpg","Argiope"
"http://dbpedia.org/resource/Tick","Tick","Ticks are small arachnids in the order Ixodida. Along with mites they constitute the subclass Acarina. Ticks are ectoparasites living by hematophagy on the blood of mammals birds and sometimes reptiles and amphibians.","NULL","NULL","{Acari|Arachnid}","{http://dbpedia.org/resource/Acari|http://dbpedia.org/resource/Arachnid}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Parasitiformes","http://dbpedia.org/resource/Parasitiformes","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Ixodus_ricinus_5x.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ixodus_ricinus_5x.jpg/200px-Ixodus_ricinus_5x.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Ixodus_ricinus_5x.jpg","http://upload.wikimedia.org/wikipedia/commons/1/13/Ixodus_ricinus_5x.jpg","Tick"
"http://dbpedia.org/resource/Pseudoscorpion","Pseudoscorpion","A pseudoscorpion (also known as a false scorpion or book scorpion) is an arachnid belonging to the order Pseudoscorpionida also known as Pseudoscorpiones or Chelonethida. Pseudoscorpions are generally beneficial to humans since they prey on clothes moth larvae carpet beetle larvae booklice ants mites and small flies. They are small and inoffensive and are rarely seen due to their size.","NULL","NULL","{Arachnid|Dromopoda}","{http://dbpedia.org/resource/Arachnid|http://dbpedia.org/resource/Dromopoda}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","NULL","NULL","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Kaldari_pseudoscorpion_01.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Kaldari_pseudoscorpion_01.jpg/200px-Kaldari_pseudoscorpion_01.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Kaldari_pseudoscorpion_01.jpg","http://upload.wikimedia.org/wikipedia/commons/b/bd/Kaldari_pseudoscorpion_01.jpg","Pseudoscorpions (false scorpions)"
"http://dbpedia.org/resource/Amblypygi","Amblypygi","Amblypygi is an order of invertebrate animals belonging to the class Arachnida in the subphylum Chelicerata of the phylum Arthropoda. They form a separate order of arachnids alongside the spiders scorpions and others. Amblypygids are also known as whip spiders and tailless whip scorpions (not to be confused with whip scorpions that belong to the Arachnid order Thelyphonida). The name amblypygid means blunt rump a reference to a lack of the telson (tail) carried by related species.","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","NULL","NULL","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Tailless_scorpion.JPG","http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tailless_scorpion.JPG/200px-Tailless_scorpion.JPG","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Tailless_scorpion.JPG","http://upload.wikimedia.org/wikipedia/commons/3/33/Tailless_scorpion.JPG","Amblypygi"
"http://dbpedia.org/resource/Schizomida","Schizomida","Schizomida (common name shorttailed whipscorpion) is an order of arachnids superficially resembling spiders and generally less than 5 millimetres in length. The order is not yet widely studied. As of 2005 more than 230 species of schizomids have been described worldwide most belonging to the Hubbardiidae family. A systematic review including a full catalogue may be found in Reddell & Cokendolpher (1995).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","NULL","NULL","{Arthropod|Chelicerata}","{http://dbpedia.org/resource/Arthropod|http://dbpedia.org/resource/Chelicerata}","NULL","NULL","NULL","200px-Hubbardia_pentapeltis_female.jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Hubbardia_pentapeltis_female.jpg/200px-Hubbardia_pentapeltis_female.jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Hubbardia_pentapeltis_female.jpg","http://upload.wikimedia.org/wikipedia/commons/0/0a/Hubbardia_pentapeltis_female.jpg","Schizomida"
"http://dbpedia.org/resource/Opiliones","Opiliones","Opiliones (formerly Phalangida) are an order of arachnids commonly known as harvestmen. As of December 2011 over 6500 species of harvestmen have been discovered worldwide although the real number of extant species may exceed 10000. The order Opiliones includes four suborders: Cyphophthalmi Eupnoi Dyspnoi and Laniatores.","NULL","NULL","{Arachnid|Dromopoda}","{http://dbpedia.org/resource/Arachnid|http://dbpedia.org/resource/Dromopoda}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","NULL","NULL","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","200px-Phalangium_opilio_3_(Nemo5576).jpg","http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Phalangium_opilio_3_(Nemo5576).jpg/200px-Phalangium_opilio_3_(Nemo5576).jpg","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","Phalangium_opilio_3_(Nemo5576).jpg","http://upload.wikimedia.org/wikipedia/commons/0/06/Phalangium_opilio_3_(Nemo5576).jpg","Opiliones"
"http://dbpedia.org/resource/Neaetha","Neaetha","Neaetha is a spider genus of the Salticidae family (jumping spiders).","NULL","NULL","Arachnid","http://dbpedia.org/resource/Arachnid","NULL","NULL","NULL","NULL","{Jumping spider|Pelleninae}","{http://dbpedia.org/resource/Jumping_spider|http://dbpedia.org/resource/Pelleninae}","NULL","NULL","Animal","http://dbpedia.org/resource/Animal","Spider","http://dbpedia.org/resource/Spider","Arthropod","http://dbpedia.org/resource/Arthropod","NULL","NULL","NULL","NULL","NULL","{animal|arachnid|eukaryote|species|owl#Thing}","{http://dbpedia.org/ontology/Animal|http://dbpedia.org/ontology/Arachnid|http://dbpedia.org/ontology/Eukaryote|http://dbpedia.org/ontology/Species|http://www.w3.org/2002/07/owl#Thing}","NULL","NULL","Neaetha"
